id_record,News_Title,Link,Source,Country_ID,Keyword
1,Trade Union: Labor in West Java will make the Post complaint THR itself,https://www.pikiran-rakyat.com/nasional/pr-014255786/serikat-pekerja-buruh-di-jawa-barat-akan-membuat-posko-pengaduan-thr-sendiri,Pikiran-Rakyat.com - Pikiran Rakyat,ID,workers right violation
2,"Avoid naughty companies, the government is asked to tighten THR supervision",https://news.detik.com/berita/d-6024900/hindari-perusahaan-nakal-pemerintah-diminta-perketat-pengawasan-thr,detikNews,ID,workers right violation
3,"US HAM Report Discusses Privacy Violations in RI, Peduli Protection Highlighted",https://news.detik.com/internasional/d-6034148/laporan-ham-as-bahas-pelanggaran-privasi-di-ri-pedulilindungi-disorot,detikNews,ID,workers right violation
4,"Factors causing human rights violations in Indonesia, this is the full explanation |Merdeka.com",https://www.merdeka.com/sumut/faktor-penyebab-pelanggaran-ham-di-indonesia-yang-penting-diketahui-kln.html,Merdeka.com,ID,workers right violation
5,"Accelerate Thr Disbursement, DKI Provincial Government Will Remove Getta",https://metro.sindonews.com/read/746459/171/percepat-pencairan-thr-pemprov-dki-akan-keluarkan-perkada-1650265442,SINDOnews,ID,workers right violation
6,General,http://www.kpi.go.id/index.php/id/umum/38-dalam-negeri?detail3=19709,kpi.go.id,ID,workers right violation
7,Ridwan Kamil Asks Company in West Java Not Paid Thr Pay,https://jabar.idntimes.com/news/jabar/azzis-zilkhairil/ridwan-kamil-minta-perusahaan-di-jabar-tidak-cicil-bayar-thr,IDN Times Jawa Barat,ID,workers right violation
8,"Allegedly PSK, 8 women who netted raids in Padang were sent to the Panti Andam Dewi",https://katasumbar.com/diduga-psk-8-wanita-yang-terjaring-razia-di-padang-dikirim-ke-panti-andam-dewi/,Kata Sumbar,ID,workers right violation
9,Factors causing internal and external human rights violations and their explanations |Merdeka.com,https://www.merdeka.com/trending/faktor-penyebab-pelanggaran-ham-internal-dan-eksternal-beserta-penjelasannya-kln.html,Merdeka.com,ID,workers right violation
10,Preview Pre-match: Real Madrid vs Chelsea |Official site |Chelsea Football Club,https://www.chelseafc.com/in/news/2022/04/12/pre-match-briefing--real-madrid-vs-chelsea,Chelsea FC,ID,workers right violation
11,Understanding and examples of human rights violations in the community,https://katadata.co.id/safrezi/berita/61a716f24b1fc/pengertian-dan-contoh-pelanggaran-ham-di-masyarakat,Katadata.co.id,ID,workers right violation
12,Causes of Termination of Employment: Reasons for PHK According to PP 35 Year 2021,https://money.kompas.com/read/2022/01/08/163433126/penyebab-pemutusan-hubungan-kerja-alasan-phk-menurut-pp-35-tahun-2021?page=all,Kompas.com - Kompas.com,ID,workers right violation
13,This country is prohibited the boss of employee contact outside working hours,https://www.cnbcindonesia.com/lifestyle/20211112152626-33-291137/negara-ini-larang-bos-kontak-karyawan-di-luar-jam-kerja,CNBC Indonesia,ID,workers right violation
14,KSPI Reveals Allegations of PLN Violations Against Outsourcing Workers,https://money.kompas.com/read/2021/06/10/155828126/kspi-ungkap-dugaan-pelanggaran-pln-terhadap-buruh-outsourcing?page=all,Kompas.com - Kompas.com,ID,workers right violation
15,"Sues to court, workers reveal 3 violations in the new rules of JHT",https://finance.detik.com/berita-ekonomi-bisnis/d-5951927/gugat-ke-pengadilan-buruh-ungkap-3-pelanggaran-di-aturan-baru-jht,detikFinance,ID,workers right violation
16,KSPSI Commitment Fight for Labor Rights,https://ekonomi.bisnis.com/read/20220219/12/1502302/kspsi-komitmen-perjuangkan-hak-buruh,Bisnis.com,ID,workers right violation
17,"PNS does not enter work on sanctions, can even be dismissed |Indonesia is good",https://indonesiabaik.id/infografis/pns-tidak-masuk-kerja-kena-sanksi-bahkan-bisa-diberhentikan,Indonesiabaik.id,ID,workers right violation
18,2020 human rights report,https://id.usembassy.gov/id/our-relationship-id/official-reports-id/laporan-hak-asasi-manusia-2020/,Kedutaan Besar dan Konsulat AS di Indonesia - US Embassy and Consulates in Indonesia,ID,workers right violation
19,298 contract workers with Iksg Tuban except 13 people,https://bloktuban.com/2022/01/13/298-buruh-kontrak-dengan-iksg-tuban-kecuali-13-orang/,blokTuban.com,ID,workers right violation
20,UN: Human Rights Enforcement in Papua deteriorates,https://dunia.tempo.co/read/1566883/pbb-penegakan-hak-asasi-manusia-di-papua-memburuk,Dunia Tempo,ID,workers right violation
21,"For Jakarta employees, this is how to report a forced company WFO",https://money.kompas.com/read/2021/07/06/125558926/bagi-karyawan-jakarta-ini-cara-laporkan-perusahaan-yang-paksa-wfo,Kompas.com - Kompas.com,ID,workers right violation
22,"Employee salary is cut because late comes to the office, how is the law?",https://www.kompas.com/konsultasihukum/read/2021/08/25/060000080/gaji-karyawan-dipotong-karena-telat-datang-ke-kantor-bagaimana?page=all,Kompas.com - KOMPAS.com,ID,workers right violation
23,'There are deliberately utilizing': Low salary payment violations continue in Australia,https://www.tempo.co/abc/6955/ada-yang-sengaja-memanfaatkan-pelanggaran-pembayaran-gaji-rendah-terus-berlangsung-di-australia,Tempo.co,ID,workers right violation
24,"Headline: human cage findings at the Langkat Regent's house, human rights violations?",https://www.liputan6.com/news/read/4868866/headline-temuan-kerangkeng-manusia-di-rumah-bupati-langkat-pelanggaran-ham,Liputan6.com,ID,workers right violation
25,"Open the 52nd RRI Qur'an Week, Vice President Ma'ruf Asks Muslims to Understand the contents of the Qur'an in full",https://fakta.news/berita/buka-pekan-tilawatil-quran-rri-ke-52-wapres-maruf-minta-umat-islam-pahami-isi-al-quran-secara-utuh,Fakta News,ID,workers right violation
26,How does the rule of money separate for employees in the Work Cipta Law?,https://www.kompas.com/konsultasihukum/read/2021/09/14/060000980/bagaimana-aturan-uang-pisah-bagi-karyawan-dalam-uu-cipta-kerja-?page=all,Kompas.com - KOMPAS.com,ID,workers right violation
27,Relaxation of P3mi deposits for Indonesian migrant workers is considered inappropriate,https://arahkata.pikiran-rakyat.com/nasional/pr-1282514396/relaksasi-deposito-p3mi-untuk-pekerja-migran-indonesia-dinilai-tidak-tepat,Arah Kata - Arah Kata,ID,workers right violation
28,Ministry of Manpower is ready for sanctions companies that violate partner workers' rights,https://ekonomi.bisnis.com/read/20210609/12/1403536/kemenaker-siap-sanksi-perusahaan-yang-melanggar-hak-pekerja-mitra,Bisnis.com,ID,workers right violation
29,"Mosque loudspeakers: without correct implementation and strict sanctions, a circular letter 'only vacuum bullets'",https://www.bbc.com/indonesia/indonesia-60428948,BBC News Indonesia,ID,workers right violation
30,The company does not tolerize the actions of violating law,https://m.tribunnews.com/pertamina/2021/10/02/perusahaan-tidak-tolerir-perbuatan-melanggar-hukum,Tribunnews.com,ID,workers right violation
31,Don't accept clothes unilaterally?This law effort can be taken,https://bisnis.tempo.co/read/1466805/tak-terima-phk-sepihak-ini-upaya-hukum-yang-bisa-ditempuh,Bisnis Tempo.co,ID,workers right violation
32,Work to death: torment of the Indonesian crew on the Chinese tuna ship,https://www.mongabay.co.id/2021/10/21/kerja-sampai-mati-siksaan-terhadap-abk-indonesia-di-kapal-tuna-tiongkok/,Mongabay.co.id,ID,workers right violation
33,This is a criminal law rule,https://www.hukumonline.com/berita/a/ini-kaidah-kaidah-hukum-pidana-ketenagakerjaan-lt60a72b5d263e2/,hukumonline.com,ID,workers right violation
34,Legal steps if employees are not given a suitable salary and jamsos,https://www.hukumonline.com/klinik/a/langkah-hukum-jika-karyawan-tak-diberi-gaji-dan-jamsos-yang-sesuai-lt51f11f7edca4e,Klinik Hukumonline - hukumonline.com,ID,workers right violation
35,The right way to say goodbye to superiors when you want to move to work,https://www.liputan6.com/bisnis/read/4642666/cara-benar-pamit-ke-atasan-saat-ingin-pindah-kerja,Liputan6.com,ID,workers right violation
36,Fraud action as a violation of business ethics,https://retizen.republika.co.id/posts/16519/tindakan-fraud-sebagai-pelanggaran-etika-bisnis,Republika,ID,workers right violation
37,Insurance Association: We have operated according to emergency PPKM rules,https://money.kompas.com/read/2021/07/08/141100126/asosiasi-asuransi--kami-sudah-beroperasi-sesuai-aturan-ppkm-darurat?page=all,Kompas.com - Kompas.com,ID,workers right violation
38,"Challenging death, rail workers work under the train trajectory",https://zonasurabayaraya.pikiran-rakyat.com/nasional/pr-1853369416/menantang-maut-pekerja-rel-bekerja-dibawah-lintasan-kereta-api,Zona Surabaya Raya - Zona Surabaya,ID,workers right violation
39,Suffering and dilemma Jermal child workers on the east coast of Sumatra,https://kumparan.com/manda-septina/derita-dan-dilematis-pekerja-anak-jermal-di-pantai-timur-sumatera-1w5nNrtiMoS,kumparan.com - kumparan.com,ID,workers right violation
40,SPN is asked to balance the rights and obligations of workers,https://jatengprov.go.id/beritadaerah/spn-diminta-seimbangkan-hak-dan-kewajiban-pekerja/,Pemerintah Provinsi Jawa Tengah,ID,workers right violation
41,"KPAI Records 5,953 Cases of Child Rights Violations at 2021 |Tanya Neraca.co.id",https://www.neraca.co.id/article/158302/kpai-catat-5953-kasus-pelanggaran-hak-anak-di-2021,Harian Ekonomi Neraca,ID,workers right violation
42,Komnas HAM: Detention of Diploma Wrong Employment Act,https://www.republika.co.id/berita/qyd9gm396/komnas-ham-penahanan-ijazah-salahi-uu-ketenagakerjaan,Republika Online,ID,workers right violation
43,The smell of MalaAdministration in Disnaker Banten: The supervisor has given money ...,https://www.alinea.id/nasional/bau-malaadministrasi-sengketa-buruh-di-disnakertrans-banten-b2cCu97GY,alinea,ID,workers right violation
44,"KKB Kills Nakes, Komnas HAM: Violating Human Rights",https://nasional.tempo.co/read/1507747/kkb-bunuh-nakes-komnas-ham-melanggar-ham,Nasional Tempo,ID,workers right violation
45,"Payment of salaries is postponed and reduced unilateral, this is the legal step",https://www.hukumonline.com/klinik/a/pembayaran-gaji-ditunda-dan-diturunkan-sepihak--ini-langkah-hukumnya-lt51d11730e5df3,Klinik Hukumonline - hukumonline.com,ID,workers right violation
46,Employees can report if you are forced to enter the office when Emergency PPKM,https://nasional.kompas.com/read/2021/07/02/16221461/karyawan-bisa-melapor-jika-dipaksa-masuk-kantor-saat-ppkm-darurat,Kompas.com - Nasional Kompas.com,ID,workers right violation
47,Ombudsman Awases Giving THR 2021 for Workers / Labor,https://www.kompas.id/baca/adv_post/ombudsman-awasi-pemberian-thr-2021-bagi-pekerja-buruh,kompas.id,ID,workers right violation
48,KSPI Rejects the Governor of West Java SK About MSEs for Workers Above 1 Year |Merdeka.com,https://www.merdeka.com/uang/kspi-tolak-sk-gubernur-jabar-soal-umk-bagi-pekerja-di-atas-1-tahun.html,Merdeka.com,ID,workers right violation
49,"Late pay THR, this is a fine and sanction that will be accepted by the company",https://nasional.kontan.co.id/news/telat-bayar-thr-ini-denda-dan-sanksi-yang-bakal-diterima-perusahaan,Internasional Kontan,ID,workers right violation
50,Google can cut the salaries of employees who are permanently,https://www.republika.co.id/berita/qxoomm327/google-dapat-memotong-gaji-karyawan-yang-wfh-permanen,Republika Online,ID,workers right violation
51,Employee protection from Harassment's threat,https://www.hukumonline.com/klinik/a/perlindungan-karyawan-dari-ancaman-iharassment-i-lt5da91547d777f,Klinik Hukumonline - hukumonline.com,ID,workers right violation
52,44 thousand vehicles get a ticket throughout the operation of obedience,https://www.cnnindonesia.com/nasional/20211004125327-12-703055/44-ribu-kendaraan-kena-tilang-sepanjang-operasi-patuh-jaya,CNN Indonesia,ID,workers right violation
53,"Allegedly ""laborers"" workers at PT.Bona Amiko Creation Becomes a Dairy Cow",https://kongkrit.com/diduga-para-pekerja-buruh-di-pt-bona-amiko-kreasi-jadi-sapi-perah/,Kongkrit,ID,workers right violation
54,Papuan OTSUS Law authorized: 'There is no guarantee of ending violence and human rights violations in Papua',https://www.bbc.com/indonesia/indonesia-57838423,BBC News Indonesia,ID,workers right violation
55,This Rules for PPKM Level 3 Christmas & New Year Holidays 2022 According to Inmendagri 62/2021,https://nasional.kontan.co.id/news/ini-aturan-ppkm-level-3-libur-natal-tahun-baru-2022-sesuai-inmendagri-622021,Internasional Kontan,ID,workers right violation
56,Legal efforts if the company forces resign employees,https://www.hukumonline.com/klinik/a/upaya-hukum-jika-perusahaan-memaksa-karyawan-iresign-i-lt5d0f98e0c6584,Klinik Hukumonline - hukumonline.com,ID,workers right violation
57,How to calculate severance pay based on the work creation law,https://www.hukumonline.com/klinik/a/cara-hitung-pesangon-lt515b7ec90fe0c,Klinik Hukumonline - hukumonline.com,ID,workers right violation
58,"Perum Damri was accused of ignoring the right of workers, THR trimmed and the salary was not paid",https://money.kompas.com/read/2021/06/16/183004526/perum-damri-dituding-abaikan-hak-pekerja-thr-dipangkas-dan-gaji-tidak-dibayar,Kompas.com - Kompas.com,ID,workers right violation
59,3 types of poor work environment for each personality type,https://gensindo.sindonews.com/read/735123/700/3-jenis-lingkungan-kerja-yang-buruk-untuk-tiap-tipe-kepribadian-1649228669,GenSINDO,ID,poor working conditions
60,Australia needs 83 thousand companion workers with disabilities,https://difabel.tempo.co/read/1583173/australia-butuh-83-ribu-tenaga-kerja-pendamping-penyandang-disabilitas,Difabel Tempo.co,ID,poor working conditions
61,The adverse effects of the Minerba Law and the Work Cipta Law are increasingly felt,https://www.voaindonesia.com/a/dampak-buruk-uu-minerba-dan-uu-cipta-kerja-kian-terasa/6512236.html,Bahasa Indonesia - VOA Indonesia,ID,poor working conditions
62,Is it true that WFH or 'Working from Home' has a negative impact on the future of children?,https://www.bbc.com/indonesia/vert-cap-60812319,BBC News Indonesia,ID,poor working conditions
63,"KOMPAS 48.2 percent Public Litbang Survey Not Satisfied with KPK Performance, ICW: This is a bad work fruit",https://www.kompas.tv/article/273107/survei-litbang-kompas-48-2-persen-publik-tak-puas-kinerja-kpk-icw-ini-buah-kerja-buruk,Kompas TV,ID,poor working conditions
